"data","valor"
"2026-04-30",4.9886
"2026-05-04",4.9587
"2026-05-05",4.9242
"2026-05-06",4.9274
"2026-05-07",4.917
"2026-05-08",4.8999
"2026-05-11",4.8973
"2026-05-12",4.8977
"2026-05-13",4.9118
"2026-05-14",4.9809
"2026-05-15",5.0654
"2026-05-18",5.0093
"2026-05-19",5.0378
"2026-05-20",5.0301
"2026-05-21",5.0077
"2026-05-22",5.014
"2026-05-25",5.0072
"2026-05-26",5.0211
"2026-05-27",5.0579
"2026-05-28",5.0517
"2026-05-29",5.0569
"2026-06-01",5.0303
"2026-06-02",5.016
"2026-06-03",5.0415
"2026-06-05",5.1244
"2026-06-08",5.1695
"2026-06-09",5.1693
"2026-06-10",5.1763
"2026-06-11",5.1478
"2026-06-12",5.0827
"2026-06-15",5.043
"2026-06-16",5.078
"2026-06-17",5.0641
"2026-06-18",5.1613
"2026-06-19",5.1442
"2026-06-22",5.1395
"2026-06-23",5.1743
"2026-06-24",5.2098
"2026-06-25",5.1892
"2026-06-26",5.1695
"2026-06-29",5.1717
"2026-06-30",5.1766
"2026-07-01",5.195
"2026-07-02",5.1945
"2026-07-03",5.1717
"2026-07-06",5.167
"2026-07-07",5.1458
"2026-07-08",5.1552
"2026-07-09",5.1329
"2026-07-10",5.1088
"2026-07-13",5.1183
"2026-07-14",5.0742
"2026-07-15",5.0727
"2026-07-16",5.0975
"2026-07-17",5.1176
"2026-07-20",5.0894
"2026-07-21",5.078
"2026-07-22",5.0638
"2026-07-23",5.0807
"2026-07-24",5.0666
"2026-07-27",5.1005
"2026-07-28",5.1177
"2026-07-29",5.1217
"2026-07-30",5.0739
"2026-07-31",5.0773
"2026-08-03",5.0723
"2026-08-04",5.1053
"2026-08-05",5.1154
"2026-08-06",5.1017
"2026-08-07",5.0908
"2026-08-10",5.0963
"2026-08-11",5.1285
"2026-08-12",5.1639
"2026-08-13",5.1859
"2026-08-14",5.2236
"2026-08-17",5.2014
"2026-08-18",5.2043
"2026-08-19",5.1714
"2026-08-20",5.1862
"2026-08-21",5.1625
"2026-08-24",5.1512
"2026-08-25",5.149
"2026-08-26",5.1604
"2026-08-27",5.1642
"2026-08-28",5.2005
"2026-08-31",5.1816
